id;nombre;categoria;subcategoria;municipio;latitud;longitud;calle;numero;piso;oficina;departamento;entre_calle_1;entre_calle_2;codigo_postal;otra_info_dire;referente_1;mail_referente_1;tel_referente_1;referente_2;mail_referente_2;tel_referente_2;referente_3;mail_referente_3;tel_referente_3;referente_4;mail_referente_4;tel_referente_4;referente_5;mail_referente_5;tel_referente_5;tipo_contacto_1;contacto_1;tipo_contacto_2;contacto_2;tipo_contacto_3;contacto_3;telefono_1;telefono_2;telefono_3;telefono_4;telefono_5;telefono_6;telefono_7;telefono_8;telefono_9;telefono_10;telefono_11;horario_lunes;horario_martes;horario_miercoles;horario_jueves;horario_viernes;horario_sabado;horario_domingo;guardia
281;Curaduría Oficial;Justicia;Curadurías;Lomas de Zamora;-34.746.709;-58.396.846;Alem ;1190;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(11) 42427313;;;;;;;;;;;;;;;;;;
282;Hospital Materno Infantil Ana Goitia;Salud;Atención Materna Infantil;Avellaneda;-3.466.564.636;-5.835.105.957;Lucio Vicente López ;1737;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(11) 42048451;(11) 42046193 int.: 11;(11) 42049085;;;;;;;;;;;;;;;;
283;Hospital Interzonal General de Agudos Dr. Pedro Fiorito;Salud;Hospitales;Avellaneda;-3.466.639.975;-5.836.516.056;Avenida Belgrano ;851;;;;;;;;;;;;;;;;;;;;;;;Mail;fiorito@ms.gba.gov.ar;;;;;(11) 42013081;(11) 42013087;(11) 42048451;(11) 42046193;(11) 42049085;;;;;;;;;;;;;;24 horas
284;Hospital Interzonal General de Agudos Presidente Perón;Salud;Hospitales;Avellaneda;-3.468.157.896;-583.575.562;Anatole France ;773;;;;Cordero;Vilegas;;;;;;;;;;;;;;;;;;;;;;;;(11) 42041021;(11) 42038010;;;;;;;;;;;;;;;;;24 horas
285;Hospital Municipal de Avellaneda Dr. Eduardo Wilde;Salud;Hospitales;Avellaneda;-3.469.556.123;-5.831.704.866;Baradero ;5808;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(11) 52277653;(11) 52277641;;;;;;;;;;;;;;;;;24 horas
286;Unidad de Pronta Atención;Salud;Atención Primaria - CAPS;Avellaneda;-347.131.636;-5.834.561.601;Caxaraville;;;;;Bulevar de los Italianos; De la Peña ;;;;;;;;;;;;;;;;;;;;;;;;(11) 42207937;(11) 42207965;(11) 42207979;(11) 42208051;;;;;;;;;;;;;;;
287;Móvil Pediátrico;Salud;Atención Primaria - CAPS;Avellaneda;-3.466.120.461;-5.837.508.967;Avenida Pavón ;300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(11) 52277763;;;;;;;;;;;;;;;;;;
288;Instituto Municipal de Prevención y Asistencia a las Adicciones;Salud;Adicciones;Avellaneda;-3.466.600.895;-5.836.538.509;Avenida Belgrano ;908;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;(11) 42016265;;;;;;;;;;;;;;;;;;
289;Instituto de Odontología Infantil;Salud;Otros Salud;Avellaneda;-3.466.757.795;-5.836.431.807;Avenida Belgrano ;;;;;General Paz ;;;;;;;;;;;;;;;;;;;;;;;;;(11) 42016295;;;;;;;;;;;;;;;;;;
290;Móvil Odontológico;Salud;Atención Primaria - CAPS;Avellaneda;-3.466.109.832;-5.837.500.343;Avenida Pavón ;300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(11) 52277763;;;;;;;;;;;;;;;;;;
291;Móvil Ginecológico;Salud;Atención Primaria - CAPS;Avellaneda;-3.466.113.441;-5.837.501.543;Avenida Pavón ;300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(11) 52277763;;;;;;;;;;;;;;;;;;
292;Unidad Sanitaria N° 4;Salud;Atención Primaria - CAPS;Avellaneda;-3.465.254.078;-5.836.230.354;Manuel Estévez ;900;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(11) 42059680;;;;;;;;;;;;;;;;;;
293;Centro Municipal de Vacunación;Salud;Otros Salud;Avellaneda;-3.466.683.798;-5.836.481.501;Italia;;;;;Belgrano ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
294;Centro Integrador Comunitario Monseñor Angeleri;Desarrollo y Acción Social;Centro Integrador Comunitario;Avellaneda;-3.465.643.537;-5.834.936.925;Irala;;;;;Vertiz;Cabo Verde;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
295;Centro de Resolución Inmediata;Salud;Atención Primaria - CAPS;Avellaneda;-3.470.634.833;-583.227.338;Rodo ;;;;;Tupac Amaru ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
296;Unidad Sanitaria;Salud;Atención Primaria - CAPS;Avellaneda;-3.466.113.441;-5.837.501.543;Avenida Pavón ;300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(11) 52277763;;;;;;;;;;;;;;;;;;
297;Unidad Sanitaria N° 16;Salud;Atención Primaria - CAPS;Avellaneda;-3.466.093.073;-5.835.289.732;Ricardo Gutiérrez ;1371;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(11) 42050251;;;;;;;;;;;;;;;;;;
298;Puesto Sanitario San Martín de Porres;Salud;Atención Primaria - CAPS;Avellaneda;-3.465.967.024;-5.833.770.998;Génova ;2207;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(11) 42018916;;;;;;;;;;;;;;;;;;
299;Unidad Sanitaria Casella Piñero;Salud;Atención Primaria - CAPS;Avellaneda;-3.467.749.586;-5.835.630.338;Debenedetti;2348;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(11) 42652069;;;;;;;;;;;;;;;;;;
300;Unidad Sanitaria N° 2;Salud;Atención Primaria - CAPS;Avellaneda;-3.464.946.857;-5.834.556.869;Mazzini;1325;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(11) 42059633;;;;;;;;;;;;;;;;;;
301;Unidad Sanitaria N° 15;Salud;Atención Primaria - CAPS;Avellaneda;-3.465.060.321;-5.834.888.001;Combatientes de Malvinas;;;;;Irala;;;;;;;;;;;;;;;;;;;;;;;;;(11) 42059622;;;;;;;;;;;;;;;;;;
302;Unidad Sanitaria N° 19;Salud;Atención Primaria - CAPS;Avellaneda;-346.935.773;-5.836.571.173;Salta;1769;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(11) 2041175;;;;;;;;;;;;;;;;;;
303;Unidad Sanitaria Barrio Agüero;Salud;Atención Primaria - CAPS;Avellaneda;-3.467.625.271;-5.837.341.511;Agüero ;;;;;General Paz;;;;;;;;;;;;;;;;;;;;;;;;;(11) 42050564;;;;;;;;;;;;;;;;;;
304;Departamento de Libretas Sanitarias;Salud;Otros Salud;Avellaneda;-3.468.211.597;-5.834.939.444;Avenida Belgrano ;2855;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(11) 42058912;;;;;;;;;;;;;;;;;;
305;Unidad Sanitaria Odontológica Crisólogo Larralde;Salud;Atención Primaria - CAPS;Avellaneda;-3.469.226.423;-5.837.347.412;Camino General Belgrano ;1244;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(11) 42047128;;;;;;;;;;;;;;;;;;
306;Unidad Sanitaria N° 5;Salud;Atención Primaria - CAPS;Avellaneda;-3.468.418.126;-5.838.501.856;Sargento Cabral ;43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(11) 42089764;;;;;;;;;;;;;;;;;;
307;Unidad Sanitaria Gerli Este;Salud;Atención Primaria - CAPS;Avellaneda;-3.468.761.014;-5.836.801.624;Casacuberta;;;;;Tres Sargentos;;;;;;;;;;;;;;;;;;;;;;;;;(11) 42045336;;;;;;;;;;;;;;;;;;
308;Unidad Sanitaria N° 9;Salud;Atención Primaria - CAPS;Avellaneda;-3.464.030.117;-5.835.405.386;Montaña;172;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(11) 42059634;;;;;;;;;;;;;;;;;;
309;Unidad Sanitaria N° 18;Salud;Atención Primaria - CAPS;Avellaneda;-3.466.102.377;-5.838.101.579;Rossetti ;;;;;La Rivera;;;;;;;;;;;;;;;;;;;;;;;;;(11) 42059639;;;;;;;;;;;;;;;;;;
310;Unidad Sanitaria Ramona Carrillo;Salud;Atención Primaria - CAPS;Avellaneda;-3.467.497.104;-5.833.823.785;Morse;;;;;Génova;;;;;;;;;;;;;;;;;;;;;;;;;(11) 42053380;;;;;;;;;;;;;;;;;;
311;Unidad Sanitaria N° 7;Salud;Atención Primaria - CAPS;Avellaneda;-3.468.176.007;-5.833.605.438;Saladillo;445;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(11) 42076587;;;;;;;;;;;;;;;;;;
312;Unidad Sanitaria N° 8;Salud;Atención Primaria - CAPS;Avellaneda;-3.466.411.586;-5.834.344.006;Blandenguez ;2723;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(11) 42037623;;;;;;;;;;;;;;;;;;
313;Unidad Sanitaria N° 12;Salud;Atención Primaria - CAPS;Avellaneda;-3.466.605.611;-5.840.147.264;Mario Bravo;1740;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(11) 42086857;;;;;;;;;;;;;;;;;;
314;Centro de Salud N° 11;Salud;Centros de Salud;Avellaneda;-3.469.536.456;-5.835.071.248;Dehesa;1053;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(11) 42061515;;;;;;;;;;;;;;;;;;
315;Instituto Municipal de Medicina del deporte;Salud;Otros Salud;Avellaneda;-3.468.808.104;-583.384.189;Avenida Mitre ;4000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(11) 43531100;;;;;;;;;;;;;;;;;;
316;Unidad Sanitaria Islas Malvinas;Salud;Atención Primaria - CAPS;Avellaneda;-3.468.457.073;-5.832.536.008;Merlo ;4406;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(11) 42074678;;;;;;;;;;;;;;;;;;
317;Unidad Sanitaria N° 1;Salud;Atención Primaria - CAPS;Avellaneda;-3.470.620.215;-5.834.643.471;Pierres ;;;;;Casacuberta;;;;;;;;;;;;;;;;;;;;;;;;;(11) 42070046;;;;;;;;;;;;;;;;;;
318;Unidad Sanitaria N° 3;Salud;Atención Primaria - CAPS;Avellaneda;-3.468.211.597;-5.834.939.444;Avenida Belgrano ;2855;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(11) 42058761;;;;;;;;;;;;;;;;;;
319;Unidad Sanitaria N° 17;Salud;Atención Primaria - CAPS;Avellaneda;-3.470.804.057;-583.530.388;Oyuela ;1976;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(11) 42468290;;;;;;;;;;;;;;;;;;
320;Instituto Municipal de Rehabilitación;Salud;Adicciones;Avellaneda;-3.470.620.302;-5.832.233.374;Rodó;300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(11) 42061884;;;;;;;;;;;;;;;;;;
321;Unidad Sanitaria N° 6;Salud;Atención Primaria - CAPS;Avellaneda;-3.471.263.514;-5.832.997.648;Rodó;938;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(11) 42070555;;;;;;;;;;;;;;;;;;
322;Unidad Sanitaria Dr. Raúl Salvarredy;Salud;Atención Primaria - CAPS;Avellaneda;-3.469.271.687;-5.831.660.442;San Isidro;5500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(11) 43531097;;;;;;;;;;;;;;;;;;
323;Unidad Sanitaria N° 10;Salud;Atención Primaria - CAPS;Avellaneda;-347.127.679;-5.834.515.577;Boulevard de los Italianos S/N ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(11) 42467218;;;;;;;;;;;;;;;;;;
324;Unidad Sanitaria Torres;Salud;Atención Primaria - CAPS;Avellaneda;-3.469.095.934;-5.830.276.226;Las Flores;1600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(11) 43531099;;;;;;;;;;;;;;;;;;
326;Centro Provincial de Atención en Adicciones;Salud;Adicciones;Avellaneda;-34.644.417;-58.353.624;Los Aromos ;1300;;;;Rivas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13:00-17:00;13:00-17:00;13:00-17:00;13:00-17:00;13:00-17:00;;;
327;Centro Provincial de Atención en Adicciones;Salud;Adicciones;Avellaneda;-3.466.783.912;-5.839.930.302;Conesa;1813;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(11) 42287769;;;;;;;;;;;08:00-15:00;08:00-15:00;08:00-15:00;08:00-15:00;08:00-15:00;;;
328;Centro Provincial de Atención en Adicciones;Salud;Adicciones;Avellaneda;-346.739.821;-583.488.881;Zeballos ;2527;;;;;;;Casa de Día Regional ;;;;;;;;;;;;;;;;;;;;;;(11) 42030801;;;;;;;;;;;09:00-17:00;;;09:00-17:00;;;;
329;Grupo de Autoayuda Bonaerenses en Adicciones;Salud;Adicciones;Avellaneda;-34.694.508;-58.352.799;Pergamino;1100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15:00-17:30;;;;;
330;Unidad Sanitaria N° 17;Salud;Atención Primaria - CAPS;Avellaneda;-3.470.804.057;-583.530.388;Oyuela ;1976;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(11) 42468290;;;;;;;;;;;;;;10:00-12:00;;;;
331;Grupo de Autoayuda Bonaerenses en Adicciones;Salud;Adicciones;Avellaneda;-3.469.536.456;-5.835.071.248;Deheza;1025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(11) 42061515;;;;;;;;;;;;;15:00-17:00 hs;;;;;
332;Dirección General de Políticas de Familia;Asistencia a la Mujer y Familia;Oficinas Gubernamentales;Baradero;-338.058.496;-595.033.304;Rodriguez;400;;;;;;;;Cecilia  Guariniello (Directora);ceciliaguariniello@hotmail.com;;;;;;;;;;;;;;Mail;politicasdefamilia@baradero.gov.ar;;;;;(3329) 482900 int.: 229;;;;;;;;;;;;;;;;;;
333;Servicio de Violencia Familiar;Atención en Violencia;Oficinas Gubernamentales;Avellaneda;-33.810.266;-59.510.675;Gallo;130;;;;;;;;María Florencia  Nazábal;;;;;;;;;;;;;;;Mail;violenciafamiliarbaradero@hotmail.com;;;;;(3329) 485609;;;;;;;;;;;;;;;;;;
334;Servicio de Protección del Niño/a;Niñez y Adolescencia;Oficinas Gubernamentales;Baradero;-33.805.047;-59.518.291;Maipú ;1101;;;;Masa;;;;;;;;;;;;;;;;;;;Mail;serviciolocalbaradero@hotmail.com;;;;;(3329) 486706;;;;;;;;;;;08:00-13:00;08:00-13:00;08:00-13:00;08:00-13:00;08:00-13:00;;;
335;Servicio de Protección del Niño/a;Niñez y Adolescencia;Oficinas Gubernamentales;Baradero;-3.381.718.062;-5.951.446.483;Ameghino ;289;1;;;;;2900;;Adriana  Sivori;;;;;;;;;;;;;;;Mail;as.sivori@hotmail.com;;;;;(3461) 4421080;(3461) 512015;;;;;;;;;;;;;;;;;
336;Dirección General de Gestión Social;Desarrollo y Acción Social;Oficinas Gubernamentales;Baradero;-338.058.496;-595.033.304;Rodríguez ;400;;;;;;;;Evangelina  Lucero (Directora);;;;;;;;;;;;;;;Mail;gestionsocial@baradero.gov.ar;;;;;(3329) 482900 int.: 229;;;;;;;;;;;;;;;;;;
337;Centro Integrador Comunitario;Desarrollo y Acción Social;Centro Integrador Comunitario;Baradero;-33.801.472;-595.152.869;Maipú;1101;;;;Masa;;;;;;;;;;;;;;;;;;;;;;;;;(3329) 486706;;;;;;;;;;;;;;;;;;
338;Comisaría de la Mujer;Seguridad;Comisarías de la Mujer;Baradero;-338.099.356;-5.951.159.542;Gallo;130;;;;Gorriti;;;;  Sosa (Sub-Comisario);;;;;;;;;;;;;;;Mail;violenciafamiliarbaradero@hotmail.com;;;;;(3329) 485609;;;;;;;;;;;07:00-12:00;07:00-12:00;07:00-12:00;07:00-12:00;07:00-12:00;;;
339;Servicio de Prevención y Asistencia de Violencia Familiar y Maltrato Infantil;Atención en Violencia;Oficinas Gubernamentales;Bahía Blanca;-387.228.576;-622.693.124;Berutti;115;;;;;;;altos;;;;;;;;;;;;;;;;Mail;promoverservicio@yahoo.com.ar;;;;;(291) 4552131;8002224554;;;;;;;;;;08:00-19:00;08:00-19:00;08:00-19:00;08:00-19:00;08:00-19:00;;;
340;Dirección de Políticas de Género;Otros servicios;Género y Diversidad;Bahía Blanca;-387.228.576;-622.693.124;Berutti;115;;;;;;;altos;Victor  Andeonche;;;;;;;;;;;;;;;;;;;;;(291) 4324764;;;;;;;;;;;;;;;;;;
341;Servicio Local de Niñez;Niñez y Adolescencia;Oficinas Gubernamentales;Bahía Blanca;-387.202.427;-622.708.915;Moreno;223;;;;;;;;María Gimena  Maricic;;;;;;;;;;;;;;;;;;;;;(291) 4560091;(291) 4534210;;;;;;;;;;;;;;;;;
342;Servicio Zonal de Niñez;Niñez y Adolescencia;Oficinas Gubernamentales;Bahía Blanca;-38.744.347;-62.225.285;Alberdi;3427;;;;Salinas Chica;;;;Betina  Roger;;;Gabriela  Safar;;;;;;;;;;;;Mail;zonalbblanca@hotmail.com;Mail;szbahiablanca@mds.gba.gov.ar;;;(291) 4814233;(291) 4814282;(291) 4814185;(221) 6160158;;;;;;;;;;;;;;;
343;Secretaría de Promoción Social;Desarrollo y Acción Social;Oficinas Gubernamentales;Bahía Blanca;-387.183.305;-622.642.219;Alsina;65;0;;;;;;;Roberto  Ercoli (Secretario);;;;;;;;;;;;;;;Mail;sap@bb.mun.gba.gov.ar;;;;;(291) 4561804 int.: 2105;(291) 4561804 int.: 2212;;;;;;;;;;;;;;;;;
344;Centro de Acceso a la Justicia;Justicia;Centros de Acceso a la Justicia;Bahía Blanca;-387.329.498;-622.356.332;Chacabuco;2250;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(291) 4815536;;;;;;;;;;;08:00-16:00;08:00-16:00;08:00-16:00;08:00-16:00;08:00-16:00;;;
345;Defensoría de Género;Justicia;Unidades de la Defensa;Bahía Blanca;-387.219.408;-622.624.773;España;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(291) 4523110;(291) 4513595;;;;;;;;;;08:00-14:00;08:00-14:00;08:00-14:00;08:00-14:00;08:00-14:00;;;
346;Comisaría de la Mujer;Seguridad;Comisarías de la Mujer;Bahía Blanca;-38.727.196;-62.263.354;Berutti;650;;;;;;;;Silvia  Francisco (Comisaria);;;;;;;;;;;;;;;;;;;;;(291) 4558762;;;;;;;;;;;;;;;;;;
347;ONG El Nido Centro de Prevención y Asistencia de la Violencia Familiar;Atención en Violencia;Organizaciones Sociales;Bahía Blanca;-387.220.075;-622.667.271;Donado;151;;Local 1 y 2;;;;;Mercado Municipal;Marta  Villareal;;;;;;;;;;;;;;;Mail;nidoviolenciafamiliar@yahoo.com.ar;;;;;(291) 4566645;;;;;;;;;;;09:30-11:30&16:00-18:00;;09:30-11:30&16:00-18:00;;09:30-11:30&16:00-18:00;;;
348;Creer Si;Asistencia a la Mujer y Familia;Organizaciones Sociales;Bahía Blanca;-387.220.075;-622.667.271;Donado;151;;;;;;;Local Mercado Municipal;;;;;;;;;;;;;;;;Mail;;Web;www.creersi.org.ar;;;(291) 4431929;;;;;;;;;;;;;;;;;;
349;Colegio Profesional de Abogados/as;Otros servicios;Abogados/as;Bahía Blanca;-387.167.381;-622.665.859;Sarmiento;54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(291) 4551750;(291) 4560135;;;;;;;;;;08:00-14:30;08:00-14:30;08:00-14:30;08:00-14:30;08:00-14:30;;;
350;Colegio Profesional de Psicólogos/as;Otros servicios;Psicólogos/as;Bahía Blanca;-38.713.292;-6.225.671;Américo Vespucio;25;;;;;;;;;;;;;;;;;;;;;;;Mail;administracion@colpsibhi.org.ar;;;;;(291) 4564108;(291) 4527565;;;;;;;;;;08:30-14:00;08:30-14:00;08:30-14:00;08:30-14:00;08:30-14:00;;;
351;Colegio Profesional de Trabajadores/as Sociales;Otros servicios;Trabajadores/as Sociales;Bahía Blanca;-387.213.856;-622.618.546;Lavalle;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(291) 4510793;;;;;;;;;;;;;;;;;;
352;Dirección de Infancia  Adolescencia y Familia;Asistencia a la Mujer y Familia;Oficinas Gubernamentales;Tres de Febrero;-34.606.134;-58.558.179;Avenida Justo José de Urquiza;4465;;;;;;;;Karina  Cousture;kcousture@tresdefebrero.gov.ar;1128170690;Agustina  Sobrero;;;;;;;;;;;;Mail;diaf@tresdefebrero.gov.ar;;;;;(11) 47507079;;;;;;;;;;;08:00-15:00;08:00-15:00;08:00-15:00;08:00-15:00;08:00-15:00;;;
353;Subsecretaría de Determinantes Sociales y Salud Mental;Salud;Oficinas Gubernamentales;Tres de Febrero;-34.627.528;-58.557.161;Besares;4510;;;;;;;;Lucila  Galluccio;lagalucho@hotmail.com;;Inés  Altamiranda;;;;;;;;;;;;;;;;;;;;;;;;;;;;;09.00-16.00;09.00-16.00;09.00-16.00;09.00-16.00;09.00-16.00;;;
354;Área Emergencias - Secretaría de Salud y Desarrollo Humano;Salud;Emergencias;Tres de Febrero;-3.460.308.614;-5.856.732.771;Juan Bautista Alberdi;5030;;;;;;;;Andrea  Caro;doctoraandreacaro@yahoo.com.ar;11566450368;;;;;;;;;;;;;Mail;sem3femergencias@gmail.com;;;;;(11) 23685816;(11) 47509961;(11) 47504202;;;;;;;;;;;;;;;;24 horas
355;Área de Salud Mental - Secretaría de Salud y Desarrollo Humano;Salud;Salud Mental;Tres de Febrero;-3.460.309.979;-5.856.728.669;Juan Bautista Alberdi;;;;;Curapaligüe;;;;Guadalupe  Amor;;1159949639;Álvaro  Rodríguez Berisso;;1159468526;;;;;;;;;;Mail;smtresdefebrero@gmail.com;;;;;;;;;;;;;;;;09.00-16.00;09.00-16.00;09.00-16.00;09.00-16.00;09.00-16.00;;;
356;Dirección de Empleo  Capacitación y Emprendedores;Otros servicios;Empleo;Tres de Febrero;-34.603.716;-58.564.365;Juan Bautista Alberdi;4840;3;;;;;;;Gladys Beatriz  Sarmiento;gladysbsarmiento@gmail.com;;Hernán  Giaccio;;;;;;;;;;;;Mail;direcciondeempleom3f@gmail.com;;;;;(11) 47349200;;;;;;;;;;;08:00-13:30;08:00-13:30;08:00-13:30;08:00-13:30;08:00-13:30;;;
357;Subsecretaría de Desarrollo Humano;Desarrollo y Acción Social;Oficinas Gubernamentales;Tres de Febrero;-34.605.974;-58.557.861;Avenida Justo José de Urquiza;4473;;;;;;;;Miguel Ángel  Delamer;mdelamer@gmail.com;116674236;Andrea  Galvagno;;;;;;;;;;;;Mail;derechoshumanos3df@gmail.com;;;;;;;;;;;;;;;;09.00-15.00;09.00-15.00;09.00-15.00;09.00-15.00;09.00-15.00;;;
358;Secretaría de Seguridad;Seguridad;Oficinas Gubernamentales;Tres de Febrero;-346.037.218;-585.643.627;Juan Bautista Alberdi;4840;;;;;;;;María Fernanda  Orlando (Directora de Prevención del delito y Atención a la víctima);mariafernandaorlando@gmail.com;1138630828;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
359;Comisaría de la Mujer;Seguridad;Comisarías de la Mujer;Tres de Febrero;-345.654.736;-5.862.251.508;Diagonal Toledo;2105;;;;;;;;Claudia Noemí  Lugo (Comisaria);;;;;;;;;;;;;;;Mail;comisariamujeryfamilia3febrero@gmail.com;;;;;(11) 45061525;(11) 45061941;;;;;;;;;;;;;;;;;24 horas
360;Fiscalía General. Oficina de Violencia de Género;Justicia;Unidades Fiscales;Bahía Blanca;-387.175.271;-622.717.314;Vieytes;302;;;;;;;;Analía  Vicente;;;;;;;;;;;;;;;;;;;;;(291) 4582412;(291) 4582408;;;;;;;;;;;;;;;;;
362;Servicio Zonal de Niñez;Niñez y Adolescencia;Oficinas Gubernamentales;General San Martín;-34.575.191;-585.378.057;Salguero;2162;;;;Mitre;Matheu;1650;;Herman  Ferrini;;1144196355;;;;;;;;;;;;;Mail;sanmartin@mds.gba.gov.ar;Mail;serzonalnorte@yahoo.com.ar;;;(11) 47538331;(11) 47543489;(11) 47133415;;;;;;;;;;;;;;;;
363;Fiscalía General. Centro de Asistencia a la Víctima;Justicia;Unidades Fiscales;Bahía Blanca;-387.177.986;-622.680.729;Moreno;25;;;;;;;;Analía  Vicente;;;;;;;;;;;;;;;;;;;;;(291) 4549556;(291) 4545495;;;;;;;;;;;;;;;;;
365;Unidad Funcional de Investigación Judicial N° 14 (delitos Sexuales);Justicia;Unidades Fiscales;Bahía Blanca;-387.177.986;-622.680.729;Moreno;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(291) 4500226 int.: 104;;;;;;;;;;;;;;;;;;
366;Fiscalía General;Justicia;Unidades Fiscales;Bahía Blanca;-387.174.111;-6.227.168.962;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(291) 4553646;(291) 4530180;(291) 4553175;;;;;;;;;;;;;;;;
368;Unidad Funcional de Investigación Judicial N° 1  2  3  4  7  8  11  12;Justicia;Unidades Fiscales;Bahía Blanca;-387.172.074;-6.226.777.062;Estomba;127;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;(291) 4591700;;;;;;;;;;;;;;;;;;
369;Unidad Funcional de Investigación Judicial N° 5  10;Justicia;Unidades Fiscales;Bahía Blanca;-387.177.986;-622.680.729;Moreno;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(291) 4500226;;;;;;;;;;;;;;;;;;
370;Fortalecer;Asistencia a la Mujer y Familia;Organizaciones Sociales;Tres de Febrero;-34.604.441;-58.530.353;Chile;1199;;;;Nuestra Señora del Carmen;;1674;;Susana  Jacob;;;;;;;;;;;;;;;;;;;;;(11) 48596600;;;;;;;;;;;15.00-19.00;15.00-19.00;15.00-19.00;15.00-19.00;;;;
371;Ministerio Público Fiscal. Servicio de Atencion Integral de Víctimas de Violencia Familiar y Vincular;Justicia;Unidades Fiscales;Bahía Blanca;-387.200.752;-6.226.237.382;Las Heras;57;;;;;;;;Julia  Ayes ((Perito II) Asistente Social);;;Mauricio  Oldani ((Auxiliar Letrado) PONTET);;;;;;;;;;;;;;;;;;(291) 4516402;(291) 4516403;(291) 4516406;;;;;;;;;;;;;;;;
372;Ministerio Público Fiscal (área social);Justicia;Unidades Fiscales;Bahía Blanca;-387.200.752;-6.226.237.382;Las Heras;57;;;;;;;;Patricia  De La Mata ((Perito I) Asist. Social);;;;;;;;;;;;;;;;;;;;;(291) 4516402;(291) 4516403;(291) 4516406;;;;;;;;;;;;;;;;
373;Juzgado de Familia N° 1;Justicia;Juzgados;Bahía Blanca;-387.189.923;-622.673.622;Avenida Colón ;46;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;(291) 4009600 int.: 33413;(291) 4009600 int.: 33403;;;;;;;;;;;;;;;;;
375;Juzgado de Familia N° 2;Justicia;Juzgados;Bahía Blanca;-387.189.923;-622.673.622;Colón ;46;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;(291) 4009600;(291) 4563600;;;;;;;;;;;;;;;;;
376;Juzgado de Paz;Justicia;Juzgados;Baradero;-338.093.722;-5.950.513.052;Avenida San Martín ;1257;;;;;;;;Federico  Rosón (Juez de Paz);;;Esteban  Perussina (Secretario del juzgado);;;;;;;;;;;;;;;;;;(3329) 480203;;;;;;;;;;;;;;;;;;
377;Juzgado de Familia N° 3;Justicia;Juzgados;Bahía Blanca;-387.189.923;-622.673.622;Colón ;46;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;(291) 4009600 int.: 33330;;;;;;;;;;;;;;;;;;
378;Unidad Funcional de Instrucción Judicial N° 8;Justicia;Unidades Fiscales;Baradero;-338.173.837;-5.951.441.832;O’ Roarque ;2388;;;;;;;;Carlos Hernán  Granda (Ayudante fiscal);;;;;;;;;;;;;;;;;;;;;(3329) 486226;;;;;;;;;;;;;;;;;;
